video_id,url
0RFBABkCXGg,https://www.youtube.com/watch?v=0RFBABkCXGg
0Tn5X7ectzY,https://www.youtube.com/watch?v=0Tn5X7ectzY
0V1VbvI9k6s,https://www.youtube.com/watch?v=0V1VbvI9k6s
0WAHT_7rurc,https://www.youtube.com/watch?v=0WAHT_7rurc
0WAHT_7rurc,https://www.youtube.com/watch?v=0WAHT_7rurc
0WYUZZQFSBY,https://www.youtube.com/watch?v=0WYUZZQFSBY
0WwNeHX-KVE,https://www.youtube.com/watch?v=0WwNeHX-KVE
0XZLql7WnuA,https://www.youtube.com/watch?v=0XZLql7WnuA
0ap_NwP-frA,https://www.youtube.com/watch?v=0ap_NwP-frA
0cSUPjNj8Rk,https://www.youtube.com/watch?v=0cSUPjNj8Rk
0dUBRB-UKS0,https://www.youtube.com/watch?v=0dUBRB-UKS0
0efyZtRiBg8,https://www.youtube.com/watch?v=0efyZtRiBg8
0fhkUrC1ld8,https://www.youtube.com/watch?v=0fhkUrC1ld8
0fhkUrC1ld8,https://www.youtube.com/watch?v=0fhkUrC1ld8
0gmo7rtqMqI,https://www.youtube.com/watch?v=0gmo7rtqMqI
0ld-MEB5Xu4,https://www.youtube.com/watch?v=0ld-MEB5Xu4
0lpyIU50LIA,https://www.youtube.com/watch?v=0lpyIU50LIA
0odSfGBxnn4,https://www.youtube.com/watch?v=0odSfGBxnn4
0pAVYdmRFsA,https://www.youtube.com/watch?v=0pAVYdmRFsA
0q50H85osyU,https://www.youtube.com/watch?v=0q50H85osyU
0qQYzR5eig4,https://www.youtube.com/watch?v=0qQYzR5eig4
0suYT7agHqo,https://www.youtube.com/watch?v=0suYT7agHqo
0uMI8qDiUgM,https://www.youtube.com/watch?v=0uMI8qDiUgM
0uSWS74HSD8,https://www.youtube.com/watch?v=0uSWS74HSD8
0vTtvXpVleg,https://www.youtube.com/watch?v=0vTtvXpVleg
0xRyGMekLHU,https://www.youtube.com/watch?v=0xRyGMekLHU
0y8Elwh9VKM,https://www.youtube.com/watch?v=0y8Elwh9VKM
0z4KHlHMzBQ,https://www.youtube.com/watch?v=0z4KHlHMzBQ
0z5yVRqbieU,https://www.youtube.com/watch?v=0z5yVRqbieU
11X_UITrjpY,https://www.youtube.com/watch?v=11X_UITrjpY
13klSoT-XTs,https://www.youtube.com/watch?v=13klSoT-XTs
157ysoFwAkw,https://www.youtube.com/watch?v=157ysoFwAkw
15QimZCqfvQ,https://www.youtube.com/watch?v=15QimZCqfvQ
16VxHjTKpF4,https://www.youtube.com/watch?v=16VxHjTKpF4
16uU6UARyfA,https://www.youtube.com/watch?v=16uU6UARyfA
1BCP5GqRmUI,https://www.youtube.com/watch?v=1BCP5GqRmUI
1CrFbGUZrj4,https://www.youtube.com/watch?v=1CrFbGUZrj4
1CtIoocYywA,https://www.youtube.com/watch?v=1CtIoocYywA
1DWESCjejpY,https://www.youtube.com/watch?v=1DWESCjejpY
1FSQbwY0RCI,https://www.youtube.com/watch?v=1FSQbwY0RCI
